id,creation_date,data.colecao.value,Autor,Data,Museu,Tipo,Titulo,Formato,URL,url,,,,,,,,
215,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,A. j. mello (alexandre josé de mello) moraes,1858,Biblioteca Estadual do Espírito Santo,,"Corographia histórica, chronographia genealógica, nobiliária e politica do Império do Brasil",livro,https://midiateca.es.gov.br/bibliotecaestadual/wp-content/uploads/tainacan-items/493/1420/TOMBO-049120.pdf,https://midiateca.es.gov.br/site/acervo/corographia-historica-chronographia-genealogica-nobiliaria-e-politica-do-imperio-do-brasil/,,,,,,,,
210,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,Fernando de souza monteiro,1905,Biblioteca Estadual do Espírito Santo,,"Carta pastoral de D. Fernando de Souza Monteiro, c. m. bispo do Espírito Santo annunciando e mandando cumprir em sua Diocese a Encyclica &#034;Acerbo Nimis&#034; de S. S., o Papa Pio X",livro,https://midiateca.es.gov.br/bibliotecaestadual/wp-content/uploads/tainacan-items/493/1387/TOMBO-42483.pdf,https://midiateca.es.gov.br/site/acervo/carta-pastoral-de-d-fernando-de-souza-monteiro-c-m-bispo-do-espirito-santo-annunciando-e-mandando-cumprir-em-sua-diocese-a-encyclica-acerbo-nimis-de-s-s-o-papa-pio-x/,,,,,,,,
223,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,,1876,Biblioteca Estadual do Espírito Santo,,Commisão Superior da Exposição Nacional de 1875,livro,https://midiateca.es.gov.br/bibliotecaestadual/wp-content/uploads/tainacan-items/493/1410/TOMBO-049643.pdf,https://midiateca.es.gov.br/site/acervo/commisao-superior-da-exposicao-nacional-de-1875/,,,,,,,,
221,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,,1870,Biblioteca Estadual do Espírito Santo,,Consultas do Conselho de Estado sobre negocios ecclesiasticos compiladas por ordem s. ex. o sr. ministro do império,livro,https://midiateca.es.gov.br/bibliotecaestadual/wp-content/uploads/tainacan-items/493/1417/TOMBO-047064.pdf,https://midiateca.es.gov.br/site/acervo/consultas-do-conselho-de-estado-sobre-negocios-ecclesiasticos-compiladas-por-ordem-s-ex-o-sr-ministro-do-imperio/,,,,,,,,
225,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,Francisco ignacio ferreira,1885,Biblioteca Estadual do Espírito Santo,,Diccionario Geographico das Minas do Brasil,livro,https://midiateca.es.gov.br/bibliotecaestadual/wp-content/uploads/tainacan-items/493/1437/DICIONARIO-C821.pdf,https://midiateca.es.gov.br/site/acervo/diccionario-geographico-das-minas-do-brasil/,,,,,,,,
234,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,A. j. mello (alexandre josé de mello) moraes,1863,Biblioteca Estadual do Espírito Santo,,"Corographia histórica, chronographia genealógica, nobiliária e politica do Império do Brasil - segunda parte",livro,https://midiateca.es.gov.br/bibliotecaestadual/wp-content/uploads/tainacan-items/493/1424/TOMBO-048887.pdf,https://midiateca.es.gov.br/site/acervo/corographia-historica-chronographia-genealogica-nobiliaria-e-politica-do-imperio-do-brasil-segunda-parte/,,,,,,,,
231,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,José leite de vasconcelos,1910,Biblioteca Estadual do Espírito Santo,,Ensaios Ethonographicos,livro,https://midiateca.es.gov.br/bibliotecaestadual/wp-content/uploads/tainacan-items/493/1460/TOMBO-049019.pdf,https://midiateca.es.gov.br/site/acervo/ensaios-ethonographicos/,,,,,,,,
230,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,F biard,1862,Biblioteca Estadual do Espírito Santo,,Deux années au Brésil,livro,https://midiateca.es.gov.br/bibliotecaestadual/wp-content/uploads/tainacan-items/493/1427/DEUXANNEES.pdf,https://midiateca.es.gov.br/site/acervo/deux-annees-au-bresil/,,,,,,,,
245,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,José (editor) coelho,1922,Biblioteca Estadual do Espírito Santo,,Estado do Espírito Santo - República dos Estados Unidos do Brasil - Obra de Propaganda Geral,livro,https://midiateca.es.gov.br/bibliotecaestadual/wp-content/uploads/tainacan-items/493/1466/Estadodoespiritosanto-rep.pdf,https://midiateca.es.gov.br/site/acervo/estado-do-espirito-santo-republica-dos-estados-unidos-do-brasil-obra-de-propaganda-geral/,,,,,,,,
243,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,Joaquim de almeida pinto,1873,Biblioteca Estadual do Espírito Santo,,diccionario de botanica brasileira,livro,,https://midiateca.es.gov.br/site/acervo/diccionario-de-botanica-brasileira/,,,,,,,,
241,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,Paulo perestrello da camara,1850,Biblioteca Estadual do Espírito Santo,,Diccionario geographico historico político e litterario do reino de Portugal e seus dominios,livro,https://midiateca.es.gov.br/bibliotecaestadual/wp-content/uploads/tainacan-items/493/1445/TOMBO-042221.pdf,https://midiateca.es.gov.br/site/acervo/diccionario-geographico-historico-politico-e-litterario-do-reino-de-portugal-e-seus-dominios/,,,,,,,,
237,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,Jerônimo de souza monteiro,1917,Biblioteca Estadual do Espírito Santo,,"Discurso pronunciado nas sessões da camara dos deputados de 23 de setembro, 22 e 29 de novembro de 1917",livro,https://midiateca.es.gov.br/bibliotecaestadual/wp-content/uploads/tainacan-items/493/1448/TOMBO-030645.pdf,https://midiateca.es.gov.br/site/acervo/discurso-pronunciado-nas-sessoes-da-camara-dos-deputados-de-23-de-setembro-22-e-29-de-novembro-de-1917/,,,,,,,,
251,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,Brasil. superitendencia de navegação. directoria de pharoes,1917,Biblioteca Estadual do Espírito Santo,,Elenco de faróes,livro,https://midiateca.es.gov.br/bibliotecaestadual/wp-content/uploads/tainacan-items/493/1456/TOMBO-017563.pdf,https://midiateca.es.gov.br/site/acervo/elenco-de-faroes/,,,,,,,,
249,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,Sebastião da rocha pitta,1878,Biblioteca Estadual do Espírito Santo,,"Historia da America Portugueza desde o anno de mil e quinhentos, do seu descobrimento, até o de mil e setecentos e vinte e quatro",livro,https://midiateca.es.gov.br/bibliotecaestadual/wp-content/uploads/tainacan-items/493/1486/TOMBO-018211.pdf,https://midiateca.es.gov.br/site/acervo/historia-da-america-portugueza-desde-o-anno-de-mil-e-quinhentos-do-seu-descobrimento-ate-o-de-mil-e-setecentos-e-vinte-e-quatro/,,,,,,,,
262,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,Joaquim caetano fernandez pinheiro,1876,Biblioteca Estadual do Espírito Santo,,Estudos historicos,livro,https://midiateca.es.gov.br/bibliotecaestadual/wp-content/uploads/tainacan-items/493/1474/TOMBO-049620.pdf,https://midiateca.es.gov.br/site/acervo/estudos-historicos/,,,,,,,,
259,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,Fernando de souza monteiro,1909,Biblioteca Estadual do Espírito Santo,,"Exhortação de S. Santidade Pio X, papa pela Divina Providência",livro,https://midiateca.es.gov.br/bibliotecaestadual/wp-content/uploads/tainacan-items/493/1477/exhortacao.pdf,https://midiateca.es.gov.br/site/acervo/exhortacao-de-s-santidade-pio-x-papa-pela-divina-providencia/,,,,,,,,
257,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,Francisco antunes de sequeira,1944,Biblioteca Estadual do Espírito Santo,,esboço histórico dos costumes do povo espiritossantense,livro,,https://midiateca.es.gov.br/site/acervo/esboco-historico-dos-costumes-do-povo-espiritossantense/,,,,,,,,
254,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,Manoel do monte rodrigues d' araujo,1858,Biblioteca Estadual do Espírito Santo,,Elementos de direiro eclesiastico publico e particular em relação á disciplina geral da igreja,livro,https://midiateca.es.gov.br/bibliotecaestadual/wp-content/uploads/tainacan-items/493/1452/TOMBO-049581.pdf,https://midiateca.es.gov.br/site/acervo/elementos-de-direiro-eclesiastico-publico-e-particular-em-relacao-a-disciplina-geral-da-igreja/,,,,,,,,
271,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,J. norberto de souza silva,1860,Biblioteca Estadual do Espírito Santo,,história da conjuração mineira,livro,,https://midiateca.es.gov.br/site/acervo/historia-da-conjuracao-mineira/,,,,,,,,
268,20/06/2022,Acervo Digital da Galeria Homero Massena,Ivanilde brunow,1979,Galeria Homero Massena,doação,Ouro Preto Lapidada,pintura,https://midiateca.es.gov.br/galeriahomeromassena/wp-content/uploads/tainacan-items/2010/2456/IMG_0518_Ouro-Preto-Ivanilde-Brunow_277G.png,https://midiateca.es.gov.br/site/acervo/ouro-preto-lapidada/,,,,,,,,
278,20/06/2022,Acervo Digital da Galeria Homero Massena,Norton,2002,Galeria Homero Massena,,Subway,pintura,https://midiateca.es.gov.br/galeriahomeromassena/wp-content/uploads/tainacan-items/2010/2758/IMG_0610-Nortton_Subway_438G.png,https://midiateca.es.gov.br/site/acervo/subway/,,,,,,,,
276,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,J. da silva campos,1940,Biblioteca Estadual do Espírito Santo,,Fortificações da Baia,livro,https://midiateca.es.gov.br/bibliotecaestadual/wp-content/uploads/tainacan-items/493/1482/TOMBO-049673.pdf,https://midiateca.es.gov.br/site/acervo/fortificacoes-da-baia/,,,,,,,,
275,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,Guilherme santos neves,1949-1982,Biblioteca Estadual do Espírito Santo,,folclore boletim,livro,,https://midiateca.es.gov.br/site/acervo/folclore-boletim/,,,,,,,,
281,20/06/2022,Acervo Digital da Galeria Homero Massena,Orlando faria (lando),1977,Galeria Homero Massena,,Galeria de Gente,pintura,https://midiateca.es.gov.br/galeriahomeromassena/wp-content/uploads/tainacan-items/2010/2791/IMG_0616-Lando_Galeria_de_Gente_518G.png,https://midiateca.es.gov.br/site/acervo/galeria-de-gente/,,,,,,,,
287,20/06/2022,Acervo Digital da Galeria Homero Massena,Leonardo benjamin,1993,Galeria Homero Massena,doação,Sem título,pintura,https://midiateca.es.gov.br/galeriahomeromassena/wp-content/uploads/tainacan-items/2010/2443/IMG_0566_Leo-Benjamin_253G.png,https://midiateca.es.gov.br/site/acervo/sem-titulo/,,,,,,,,
294,20/06/2022,Acervo Digital da Galeria Homero Massena,Leonardo benjamin,1993,Galeria Homero Massena,,Sem título,pintura,https://midiateca.es.gov.br/galeriahomeromassena/wp-content/uploads/tainacan-items/2010/2479/IMG_0569_Leo-Benjamin_289G.png,https://midiateca.es.gov.br/site/acervo/sem-titulo-2/,,,,,,,,
292,20/06/2022,Acervo Digital da Galeria Homero Massena,João carlos favoretto,1999,Galeria Homero Massena,doação,"Jarro com flores vermelhas / Povo inteligente, se tornou [...]",pintura,https://midiateca.es.gov.br/galeriahomeromassena/wp-content/uploads/tainacan-items/2010/2420/IMG_0591_Favoretto_Jarro-com-flores-vermelhas-Povo-inteligente-se-tornou_239G.png,https://midiateca.es.gov.br/site/acervo/jarro-com-flores-vermelhas-povo-inteligente-se-tornou/,,,,,,,,
297,20/06/2022,Acervo Digital da Galeria Homero Massena,Raquel baelles,1994 / 1995,Galeria Homero Massena,,Amar la Zulo,pintura,https://midiateca.es.gov.br/galeriahomeromassena/wp-content/uploads/tainacan-items/2010/2603/IMG_0514_Raquel-Baelles-1995_359G.png,https://midiateca.es.gov.br/site/acervo/amar-la-zulo-sem-titulo/,,,,,,,,
300,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,Edmundo de amicis,1889,Biblioteca Estadual do Espírito Santo,,Constantinopla,livro,https://midiateca.es.gov.br/bibliotecaestadual/wp-content/uploads/tainacan-items/493/1413/TOMBO-045328.pdf,https://midiateca.es.gov.br/site/acervo/constantinopla/,,,,,,,,
305,20/06/2022,Acervo Digital da Galeria Homero Massena,Suzana villaça,1983,Galeria Homero Massena,doação,Praia I,pintura,https://midiateca.es.gov.br/galeriahomeromassena/wp-content/uploads/tainacan-items/2010/2169/IMG_0599-SuzanaVilaca_Praia-I_48G.png,https://midiateca.es.gov.br/site/acervo/praia-i/,,,,,,,,
313,20/06/2022,Acervo Digital da Galeria Homero Massena,Cybele varela,2003,Galeria Homero Massena,,Mulher Rendeira,pintura,,https://midiateca.es.gov.br/site/acervo/mulher-rendeira/,,,,,,,,
310,20/06/2022,Acervo Digital da Galeria Homero Massena,Cézar cola,1981,Galeria Homero Massena,doação,A discípula de Chico Xavier,pintura,https://midiateca.es.gov.br/galeriahomeromassena/wp-content/uploads/tainacan-items/2010/2310/IMG_0531__Cezar-Cola-Discipula-de-chico-xavier_149G.png,https://midiateca.es.gov.br/site/acervo/disciplina-de-chico-xavier-a-discipula-de-chico-xavier/,,,,,,,,
317,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,Paulo perestrello da camara,1850,Biblioteca Estadual do Espírito Santo,,Diccionario geographico historico político e litterario do reino de Portugal e seus dominios,livro,https://midiateca.es.gov.br/bibliotecaestadual/wp-content/uploads/tainacan-items/493/1441/TOMBO-020213.pdf,https://midiateca.es.gov.br/site/acervo/diccionario-geographico-historico-politico-e-litterario-do-reino-de-portugal-e-seus-dominios-2/,,,,,,,,
315,20/06/2022,Acervo Digital da Galeria Homero Massena,,,Galeria Homero Massena,,,pintura,,https://midiateca.es.gov.br/site/acervo/315-2/,,,,,,,,
322,20/06/2022,Acervo Digital da Galeria Homero Massena,Cybele varela,2003,Galeria Homero Massena,,Reza forte,pintura,,https://midiateca.es.gov.br/site/acervo/reza-forte/,,,,,,,,
320,20/06/2022,Acervo Digital da Galeria Homero Massena,Hilal sami hilal,,Galeria Homero Massena,,,pintura,,https://midiateca.es.gov.br/site/acervo/320-2/,,,,,,,,
328,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,Joaquim caetano fernandez pinheiro,1876,Biblioteca Estadual do Espírito Santo,,Estudos historicos,livro,https://midiateca.es.gov.br/bibliotecaestadual/wp-content/uploads/tainacan-items/493/1470/TOMBO-049574.pdf,https://midiateca.es.gov.br/site/acervo/estudos-historicos-2/,,,,,,,,
326,20/06/2022,Acervo Digital da Galeria Homero Massena,Autor desconhecido,,Galeria Homero Massena,,,pintura,,https://midiateca.es.gov.br/site/acervo/326-2/,,,,,,,,
324,20/06/2022,Acervo Digital da Galeria Homero Massena,Autor desconhecido,,Galeria Homero Massena,,,pintura,,https://midiateca.es.gov.br/site/acervo/324-2/,,,,,,,,
332,20/06/2022,Acervo Digital da Galeria Homero Massena,Chaudanne,,Galeria Homero Massena,,Revolution Francaise[?],pintura,,https://midiateca.es.gov.br/site/acervo/revolution-francaise/,,,,,,,,
345,20/06/2022,Acervo Digital da Galeria Homero Massena,Cybele varela,2003,Galeria Homero Massena,,Corisco,pintura,,https://midiateca.es.gov.br/site/acervo/corisco/,,,,,,,,
343,20/06/2022,Acervo Digital da Galeria Homero Massena,Tadeu biancone,,Galeria Homero Massena,,449,pintura,,https://midiateca.es.gov.br/site/acervo/449-2/,,,,,,,,
341,20/06/2022,Acervo Digital da Biblioteca Pública do Espírito Santo,Miguel cervantes saavedra,s.d.,Biblioteca Estadual do Espírito Santo,,História de D. Quichote,livro,https://midiateca.es.gov.br/bibliotecaestadual/wp-content/uploads/tainacan-items/493/1496/TOMBO-048901.pdf,https://midiateca.es.gov.br/site/acervo/historia-de-d-quichote/,,,,,,,,
340,20/06/2022,Acervo Digital da Galeria Homero Massena,Tadeu biancone,,Galeria Homero Massena,,448,pintura,,https://midiateca.es.gov.br/site/acervo/448-2/,,,,,,,,
337,20/06/2022,Acervo Digital da Galeria Homero Massena,Tadeu biancone,,Galeria Homero Massena,,447,pintura,,https://midiateca.es.gov.br/site/acervo/447-2/,,,,,,,,
335,20/06/2022,Acervo Digital da Galeria Homero Massena,Eliane prolik,2003,Galeria Homero Massena,,Pape(Série:não pare sobre os olhos),pintura,,https://midiateca.es.gov.br/site/acervo/papeserienao-pare-sobre-os-olhos/,,,,,,,,
356,20/06/2022,Acervo Digital da Galeria Homero Massena,Tom boechat,,Galeria Homero Massena,,451,pintura,,https://midiateca.es.gov.br/site/acervo/451-2/,,,,,,,,
353,20/06/2022,Acervo Digital da Galeria Homero Massena,Pintura mural,1985,Galeria Homero Massena,,1985 Cultivo de Cana,pintura,,https://midiateca.es.gov.br/site/acervo/1985-cultivo-de-cana/,,,,,,,,
